lead_frequency_class,scenario,n_haplotypes,n_partners,replicate,lead_alt_frequency,n_monomorphic_panel_variants,fit_available,lead_state,n_conditioning_haplotypes,empirical_mode_available,empirical_mode_maximum_count,n_tied_empirical_modes,true_mode_in_empirical_mode_set,ld_sign_available,n_undefined_ld_sign_partners,true_top1_in_fitted_top10,top10_overlap_fraction,available,strategy,exact_true_mode,hamming_to_true_mode,true_log_probability,true_probability,true_probability_regret,true_rank_if_top10
common,balanced_q1,1000,256,7,0.33231715417222485,1,True,1,335,True,1,335,False,False,1,False,0.0,False,ld_sign,,,,,,
common,balanced_q1,1000,256,8,0.05799944050560717,0,True,0,946,True,1,946,False,True,0,True,0.4,True,fitted,True,0.0,-13.68096086933222,1.144021502453645e-06,2.117582368135751e-21,1.0
common,balanced_q1,1000,256,8,0.05799944050560717,0,True,0,946,True,1,946,False,True,0,True,0.4,True,empirical_mode,False,138.0,-31.433985470926384,2.230455514022414e-14,1.144021480149092e-06,
common,balanced_q1,1000,256,8,0.05799944050560717,0,True,0,946,True,1,946,False,True,0,True,0.4,True,ld_sign,True,0.0,-13.68096086933222,1.144021502453645e-06,2.117582368135751e-21,1.0
common,balanced_q1,1000,256,8,0.05799944050560717,0,True,1,54,True,1,54,False,True,0,True,0.4,True,fitted,True,0.0,-10.826019695559475,1.987556051995883e-05,3.3881317890172014e-20,1.0
common,balanced_q1,1000,256,8,0.05799944050560717,0,True,1,54,True,1,54,False,True,0,True,0.4,True,empirical_mode,False,89.0,-45.66304676490599,1.474995730151309e-20,1.987556051995885e-05,
common,balanced_q1,1000,256,8,0.05799944050560717,0,True,1,54,True,1,54,False,True,0,True,0.4,True,ld_sign,True,0.0,-10.826019695559475,1.987556051995883e-05,3.3881317890172014e-20,1.0
common,balanced_q1,1000,256,9,0.0570447578207951,0,True,0,943,True,1,943,False,True,0,True,0.5,True,fitted,True,0.0,-13.895922633266254,9.227360313040437e-07,6.564505341220828e-21,1.0
common,balanced_q1,1000,256,9,0.0570447578207951,0,True,0,943,True,1,943,False,True,0,True,0.5,True,empirical_mode,False,134.0,-32.15710203293315,1.0823009336622157e-14,9.227360204810409e-07,
common,balanced_q1,1000,256,9,0.0570447578207951,0,True,0,943,True,1,943,False,True,0,True,0.5,True,ld_sign,False,1.0,-46.02444919054674,1.0276274198994286e-20,9.2273603130404e-07,
common,balanced_q1,1000,256,9,0.0570447578207951,0,True,1,57,True,1,57,False,True,0,True,0.5,True,fitted,True,0.0,-10.452537784103026,2.8874901970098428e-05,2.574980159653073e-19,1.0
common,balanced_q1,1000,256,9,0.0570447578207951,0,True,1,57,True,1,57,False,True,0,True,0.5,True,empirical_mode,False,109.0,-40.47049584496574,2.6539147894352298e-18,2.8874901970096033e-05,
common,balanced_q1,1000,256,9,0.0570447578207951,0,True,1,57,True,1,57,False,True,0,True,0.5,True,ld_sign,False,1.0,-11.860510503183047,7.063919410671374e-06,2.181098255942731e-05,2.0
common,balanced_q1,1000,256,10,0.19539274185516908,0,True,0,811,True,1,811,False,True,0,True,0.2,True,fitted,False,1.0,-18.175403979433167,1.2779749623898696e-08,1.1640223314439312e-06,
common,balanced_q1,1000,256,10,0.19539274185516908,0,True,0,811,True,1,811,False,True,0,True,0.2,True,empirical_mode,False,138.0,-45.16484546855697,2.4274865763034268e-20,1.1768020810678056e-06,
common,balanced_q1,1000,256,10,0.19539274185516908,0,True,0,811,True,1,811,False,True,0,True,0.2,True,ld_sign,True,0.0,-13.652709899248247,1.17680208106783e-06,0.0,1.0
common,balanced_q1,1000,256,10,0.19539274185516908,0,True,1,189,True,1,189,False,True,0,True,0.4,True,fitted,True,0.0,-11.734255197555482,8.01452371754525e-06,1.3552527156068805e-20,1.0
