lead_frequency_class,scenario,n_haplotypes,n_partners,strategy,n_panels,n_available,unavailable_fraction,n_empirical_evaluable,unavailable_fraction_among_empirical_evaluable,exact_recovery_given_available,error_given_available,exact_recovery_on_empirical_evaluable_panels,error_on_empirical_evaluable_panels,unconditional_correct_fraction,median_hamming_given_available,p95_hamming_given_available,median_alt_carriers,zero_alt_carrier_fraction,tie_fraction_given_available,true_mode_in_empirical_mode_set_given_available
common,lead_ld_q2,500,256,empirical_mode,30,30,0.0,30,0.0,0.03333333333333333,0.9666666666666667,0.03333333333333333,0.9666666666666667,0.03333333333333333,110.0,135.29999999999998,108.5,0.0,0.9666666666666667,0.13333333333333333
common,lead_ld_q2,500,256,fitted,30,30,0.0,30,0.0,0.7333333333333333,0.2666666666666667,0.7333333333333333,0.2666666666666667,0.7333333333333333,0.0,3.0999999999999943,108.5,,,
common,lead_ld_q2,500,256,ld_sign,30,16,0.4666666666666667,30,0.4666666666666667,1.0,0.0,1.0,0.0,0.5333333333333333,0.0,0.0,108.5,,,
common,lead_ld_q2,1000,4,empirical_mode,30,30,0.0,30,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,218.0,0.0,0.0,1.0
common,lead_ld_q2,1000,4,fitted,30,30,0.0,30,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,218.0,,,
common,lead_ld_q2,1000,4,ld_sign,30,30,0.0,30,0.0,0.26666666666666666,0.7333333333333334,0.26666666666666666,0.7333333333333334,0.26666666666666666,1.0,3.0,218.0,,,
common,lead_ld_q2,1000,32,empirical_mode,30,30,0.0,30,0.0,0.7333333333333333,0.2666666666666667,0.7333333333333333,0.2666666666666667,0.7333333333333333,0.0,2.0,198.5,0.0,0.06666666666666667,0.7666666666666667
common,lead_ld_q2,1000,32,fitted,30,30,0.0,30,0.0,0.5666666666666667,0.43333333333333335,0.5666666666666667,0.43333333333333335,0.5666666666666667,0.0,2.549999999999997,198.5,,,
common,lead_ld_q2,1000,32,ld_sign,30,30,0.0,30,0.0,0.0,1.0,0.0,1.0,0.0,9.0,14.549999999999997,198.5,,,
common,lead_ld_q2,1000,256,empirical_mode,30,30,0.0,30,0.0,0.06666666666666667,0.9333333333333333,0.06666666666666667,0.9333333333333333,0.06666666666666667,114.0,138.04999999999995,234.0,0.0,0.9,0.23333333333333334
common,lead_ld_q2,1000,256,fitted,30,30,0.0,30,0.0,0.9666666666666667,0.033333333333333326,0.9666666666666667,0.033333333333333326,0.9666666666666667,0.0,0.0,234.0,,,
common,lead_ld_q2,1000,256,ld_sign,30,29,0.033333333333333326,30,0.033333333333333326,1.0,0.0,1.0,0.0,0.9666666666666667,0.0,0.0,234.0,,,
common,lead_ld_q2,2000,4,empirical_mode,30,30,0.0,30,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,434.0,0.0,0.0,1.0
common,lead_ld_q2,2000,4,fitted,30,30,0.0,30,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,434.0,,,
common,lead_ld_q2,2000,4,ld_sign,30,30,0.0,30,0.0,0.26666666666666666,0.7333333333333334,0.26666666666666666,0.7333333333333334,0.26666666666666666,1.0,3.0,434.0,,,
common,lead_ld_q2,2000,32,empirical_mode,30,30,0.0,30,0.0,0.8,0.19999999999999996,0.8,0.19999999999999996,0.8,0.0,2.549999999999997,398.5,0.0,0.06666666666666667,0.8333333333333334
